시군구,도로명코드,도로명,영문도로명,읍면동일련번호,시도명,시군구명,읍면동구분,읍면동코드,읍면동명,상위도로코드,상위도로명,폐지구분,변경이력사유,변경이력정보,영문시도명,영문시군구명,영문읍면동명,고시일자,말소일자
11710,4169303,송이로19길,Songi-ro 19-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169303,송이로19길,Songi-ro 19-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169304,송이로20길,Songi-ro 20-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169304,송이로20길,Songi-ro 20-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169305,송이로21길,Songi-ro 21-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169305,송이로21길,Songi-ro 21-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169306,송이로23길,Songi-ro 23-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169306,송이로23길,Songi-ro 23-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169307,송이로24길,Songi-ro 24-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169307,송이로24길,Songi-ro 24-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169308,송이로26길,Songi-ro 26-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169308,송이로26길,Songi-ro 26-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169309,송이로27길,Songi-ro 27-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169309,송이로27길,Songi-ro 27-gil,1,서울특별시,송파구,1,107.0,가락동,,,0,,,Seoul,Songpa-gu,Garak-dong,20100604.0,
11710,4169310,송이로28길,Songi-ro 28-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169310,송이로28길,Songi-ro 28-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169311,송이로2길,Songi-ro 2-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169311,송이로2길,Songi-ro 2-gil,1,서울특별시,송파구,1,104.0,송파동,,,0,,,Seoul,Songpa-gu,Songpa-dong,20100604.0,
11710,4169312,송이로30길,Songi-ro 30-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169312,송이로30길,Songi-ro 30-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169313,송이로31길,Songi-ro 31-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169313,송이로31길,Songi-ro 31-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169314,송이로32길,Songi-ro 32-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169314,송이로32길,Songi-ro 32-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169315,송이로33길,Songi-ro 33-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169315,송이로33길,Songi-ro 33-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169316,송이로34길,Songi-ro 34-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
11710,4169316,송이로34길,Songi-ro 34-gil,1,서울특별시,송파구,1,108.0,문정동,,,0,,,Seoul,Songpa-gu,Munjeong-dong,20100604.0,
11710,4169317,송이로36길,Songi-ro 36-gil,0,서울특별시,송파구,2,,,,,0,,,Seoul,Songpa-gu,,20100604.0,
